Entry	Entry Name	Gene Names	Length	EC number	Gene Ontology IDs
P75691	YAHK_ECOLI	yahK b0325 JW0317	349	1.1.1.2	GO:0008106; GO:0008270; GO:0016616
P75792	SUPH_ECOLI	ybiV supH b0822 JW0806	271	3.1.3.23	GO:0000287; GO:0005829; GO:0016791; GO:0050286; GO:0050308; GO:0103026
P75804	YLII_ECOLI	yliI b0837 JW0821	371	1.1.5.-	GO:0005509; GO:0009279; GO:0016901; GO:0030288; GO:0070968
P75809	YBJI_ECOLI	ybjI b0844 JW5113	271	3.1.3.104	GO:0000287; GO:0005829; GO:0009231; GO:0016791; GO:0043726
P75820	AMID_ECOLI	amiD ybjR b0867 JW0851	276	3.5.1.28	GO:0008270; GO:0008745; GO:0009253; GO:0009254; GO:0009279; GO:0009392; GO:0019867; GO:0071555
P75823	LTAE_ECOLI	ltaE ybjU b0870 JW0854	333	4.1.2.48	GO:0005829; GO:0006545; GO:0006567; GO:0008732; GO:0030170; GO:0042802; GO:0050179
P75825	HCP_ECOLI	hcp ybjW b0873 JW0857	550	1.7.99.1	GO:0004601; GO:0005737; GO:0006807; GO:0016491; GO:0042542; GO:0046210; GO:0046872; GO:0050418; GO:0051537
P75830	MACA_ECOLI	macA ybjY b0878 JW0862	371		GO:0005886; GO:0015562; GO:0016020; GO:0019898; GO:0042802; GO:0046677; GO:1990196; GO:1990281; GO:1990961
P75831	MACB_ECOLI	macB ybjZ b0879 JW0863	648	7.6.2.-	GO:0005524; GO:0005886; GO:0008559; GO:0016020; GO:0016887; GO:0022857; GO:0042802; GO:0042803; GO:0046677; GO:1990196; GO:1990961
P75849	GLO22_ECOLI	gloC ycbL b0927 JW0910	215	3.1.2.6	GO:0004416; GO:0005829; GO:0009636; GO:0019243; GO:0046872
P75862	ZAPC_ECOLI	zapC ycbW b0946 JW5125	180		GO:0000917; GO:0005737; GO:0032153; GO:0036212; GO:0042802; GO:0043093; GO:0051302
P75864	RLMKL_ECOLI	rlmL rlmK rlmKL ycbY b0948 JW0931	702	2.1.1.173; 2.1.1.264	GO:0003723; GO:0005737; GO:0008990; GO:0031167; GO:0052915; GO:0070043; GO:0070475
P75876	RLMI_ECOLI	rlmI yccW b0967 JW5898	396	2.1.1.191	GO:0003723; GO:0005737; GO:0005829; GO:0009383; GO:0016434; GO:0031167; GO:0042803; GO:0044010; GO:0070475
P75892	RUTG_ECOLI	rutG ycdG b1006 JW5137	442		GO:0005350; GO:0005886; GO:0006212; GO:0015210; GO:0015218; GO:0015505; GO:0098721; GO:1904082
P75898	RUTA_ECOLI	rutA ycdM b1012 JW0997	382	1.14.99.46	GO:0004497; GO:0006208; GO:0006210; GO:0006212; GO:0008726; GO:0019740; GO:0046306; GO:0052614
P75906	PGAB_ECOLI	pgaB ycdR b1023 JW5142	672	3.5.1.-	GO:0004553; GO:0005975; GO:0009279; GO:0016810; GO:0043708; GO:0044010; GO:0098732
P75908	DGCT_ECOLI	dgcT ycdT b1025 JW5143	452	2.7.7.65	GO:0005525; GO:0005886; GO:0046872; GO:0052621; GO:0090609
P75914	YCDX_ECOLI	ycdX b1034 JW1017	245	3.1.3.-	GO:0005829; GO:0008270; GO:0016791; GO:0042578; GO:0042802; GO:0071978
P75949	NAGZ_ECOLI	nagZ ycfO b1107 JW1093	341	3.2.1.52	GO:0004563; GO:0005829; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0009254; GO:0016231; GO:0051301; GO:0071555; GO:0102148
P75957	LOLD_ECOLI	lolD ycfV b1117 JW5162	233	7.6.2.-	GO:0005524; GO:0005886; GO:0016887; GO:0022857; GO:0043190; GO:0044874; GO:0055085; GO:0089705; GO:0098797; GO:0140306
P75959	NAGK_ECOLI	nagK ycfX b1119 JW1105	303	2.7.1.59	GO:0005524; GO:0006044; GO:0008270; GO:0009254; GO:0045127
P75960	NPD_ECOLI	cobB ycfY b1120 JW1106	279	2.3.1.286	GO:0003950; GO:0005737; GO:0006935; GO:0008270; GO:0017136; GO:0034979; GO:0035438; GO:0036054; GO:0036055; GO:0042803; GO:0051607; GO:0061690; GO:0070403; GO:0160013
P75990	BLUF_ECOLI	bluF blrp ycgF b1163 JW1150	403		GO:0009637; GO:0009882; GO:0050660; GO:0071949; GO:0140297
P76008	LDCA_ECOLI	ldcA ycgQ b1192 JW1181	304	3.4.17.13	GO:0004180; GO:0005829; GO:0006508; GO:0008236; GO:0008360; GO:0009252; GO:0009254; GO:0042803; GO:0061787; GO:0071555; GO:0106415
P76010	YCGR_ECOLI	ycgR b1194 JW1183	244		GO:0009425; GO:0035438; GO:0071945; GO:0071973; GO:1902201
P76014	DHAL_ECOLI	dhaL ycgS b1199 JW5186	210	2.7.1.121	GO:0000287; GO:0004371; GO:0005524; GO:0005829; GO:0006090; GO:0019563; GO:0043531; GO:0046835; GO:0047324; GO:1990234
P76015	DHAK_ECOLI	dhaK ycgT b1200 JW5187	356	2.7.1.121	GO:0004371; GO:0005829; GO:0006090; GO:0006974; GO:0019563; GO:0042182; GO:0042802; GO:0042803; GO:0046365; GO:0046835; GO:0047324; GO:0061610; GO:1990234
P76037	PUUP_ECOLI	puuP ycjJ b1296 JW1289	461		GO:0005886; GO:0006865; GO:0006974; GO:0009447; GO:0015295; GO:0015489; GO:0015847
P76038	PUUD_ECOLI	puuD ycjL b1298 JW1291	254	3.5.1.94	GO:0006598; GO:0009447; GO:0033969
P76045	OMPG_ECOLI	ompG b1319 JW1312	301		GO:0006811; GO:0009279; GO:0015288; GO:0015478; GO:0015481; GO:0034219; GO:0046930
P76055	TTCA_ECOLI	ttcA ydaO b1344 JW1338	311	2.8.1.-	GO:0000049; GO:0000287; GO:0005524; GO:0005829; GO:0006400; GO:0016783; GO:0034227; GO:0042803; GO:0051539
P76077	PAAA_ECOLI	paaA ydbO b1388 JW1383	309	1.14.13.149	GO:0005829; GO:0010124; GO:0062077; GO:0097266
P76081	PAAE_ECOLI	paaE ydbR b1392 JW1387	356	1.-.-.-	GO:0005829; GO:0010124; GO:0016491; GO:0046872; GO:0050660; GO:0051537; GO:0062077
P76082	PAAF_ECOLI	paaF ydbR b1393 JW1388	255	4.2.1.17	GO:0004300; GO:0006635; GO:0010124; GO:0042802; GO:1902494
P76084	PAAI_ECOLI	paaI ydbV b1396 JW1391	140	3.1.2.-	GO:0010124; GO:0016289
P76104	RLHA_ECOLI	rlhA ydcP b1435 JW1431	653		GO:0000154
P76108	YDCS_ECOLI	ydcS b1440 JW1435	381	2.3.1.-	GO:0009290; GO:0015846; GO:0016020; GO:0016746; GO:0019808; GO:0030288; GO:0042619; GO:0055052; GO:0055085
P76113	CURA_ECOLI	curA yncB b1449 JW5907	345	1.3.1.n3	GO:0016628
P76129	DOSP_ECOLI	dosP dos pdeO yddU b1489 JW1484	799	3.1.4.52	GO:0000287; GO:0019826; GO:0020037; GO:0042803; GO:0070482; GO:0071111
P76149	SAD_ECOLI	sad yneI b1525 JW5247	462	1.2.1.16	GO:0004030; GO:0004777; GO:0006527; GO:0006807; GO:0009013; GO:0009447; GO:0009450; GO:0036243; GO:0042803
P76193	YNHG_ECOLI	ynhG b1678 JW1668	334	2.-.-.-	GO:0008360; GO:0009252; GO:0016757; GO:0018104; GO:0042597; GO:0071555; GO:0071972
P76216	ASTB_ECOLI	astB ydjT b1745 JW1734	447	3.5.3.23	GO:0006527; GO:0009015; GO:0019544; GO:0019545; GO:0042803
P76236	CDGI_ECOLI	cdgI yeaI b1785 JW1774	491	2.7.7.65	GO:0005525; GO:0005886; GO:0043709; GO:0046872; GO:0052621; GO:1902201
P76251	DMLA_ECOLI	dmlA yeaU b1800 JW1789	361	1.1.1.83	GO:0000287; GO:0003862; GO:0005737; GO:0006108; GO:0009027; GO:0046553; GO:0051287
P76256	TSAB_ECOLI	tsaB yeaZ b1807 JW1796	231		GO:0000408; GO:0002949; GO:0005829; GO:0008237; GO:0042802; GO:1990145
P76257	YOAA_ECOLI	yoaA b1808 JW1797	636	3.6.4.12	GO:0003677; GO:0003678; GO:0004386; GO:0005524; GO:0006281; GO:0006301; GO:0016887; GO:0046872; GO:0051536
P76316	DCYD_ECOLI	dcyD yedO b1919 JW5313	328	4.4.1.15	GO:0005829; GO:0006790; GO:0006791; GO:0010438; GO:0019148; GO:0019149; GO:0019447; GO:0030170; GO:0042803; GO:0046416
P76318	YEDK_ECOLI	yedK yedG b1931 JW1916	222	3.4.-.-	GO:0003697; GO:0006508; GO:0006974; GO:0008233; GO:0009432; GO:0018142
P76330	DGCQ_ECOLI	dgcQ yedQ b1956 JW5832	564	2.7.7.65	GO:0005525; GO:0005886; GO:0030244; GO:0043709; GO:0046872; GO:0052621; GO:1902201
P76334	DRPB_ECOLI	drpB yedR b1963 JW1946	100		GO:0005886; GO:0032153; GO:0043093
P76339	HPRS_ECOLI	hprS yedV b1968 JW1951	452	2.7.13.3	GO:0000155; GO:0000160; GO:0004672; GO:0005524; GO:0005886; GO:0006974; GO:0016772; GO:0046688; GO:1901530
P76341	HIUH_ECOLI	hiuH yedX b1970 JW1953	137	3.5.2.17	GO:0006144; GO:0032991; GO:0033971; GO:0042597; GO:0042802; GO:0051289
P76342	MSRP_ECOLI	msrP yedY b1971 JW1954	334	1.8.5.-	GO:0016672; GO:0016675; GO:0030091; GO:0030288; GO:0043546; GO:0046872; GO:1901530
P76343	MSRQ_ECOLI	msrQ yedZ b1972 JW1955	211		GO:0005886; GO:0009055; GO:0010181; GO:0016679; GO:0020037; GO:0030091; GO:0046872
P76344	ZINT_ECOLI	zinT yodA b1973 JW1956	216		GO:0005829; GO:0006882; GO:0008270; GO:0030288; GO:0034224; GO:0046870; GO:0046872; GO:0070301; GO:0071276
P76364	CBEA_ECOLI	cbeA yeeU b2004 JW1986	122		GO:0005737; GO:0008092; GO:0046872; GO:0051495
P76387	WZC_ECOLI	wzc b2060 JW2045	720	2.7.10.-	GO:0004713; GO:0005524; GO:0005886; GO:0009103; GO:0009242; GO:0016310; GO:0016887; GO:0042802; GO:0045226
P76407	YEGS_ECOLI	yegS b2086 JW2070	299	2.7.1.-	GO:0000287; GO:0001727; GO:0005524; GO:0005737; GO:0008654; GO:0016310
P76422	THID_ECOLI	thiD thiJ b2103 JW2090	266	2.7.1.49; 2.7.4.7	GO:0005524; GO:0005829; GO:0008902; GO:0008972; GO:0009228; GO:0009229; GO:0016310; GO:0036172
P76440	PRET_ECOLI	preT yeiT b2146 JW2133	412	1.3.1.1	GO:0003954; GO:0004159; GO:0006208; GO:0006210; GO:0006212; GO:0016491; GO:0051536; GO:0140690; GO:1990204
P76445	LPXT_ECOLI	lpxT yeiU b2174 JW2162	237	2.7.4.29	GO:0005886; GO:0009103; GO:0009245; GO:0016776; GO:0043165; GO:0050380; GO:1903412
P76458	ATOD_ECOLI	atoD b2221 JW2215	220	2.8.3.8	GO:0005737; GO:0008410; GO:0008775; GO:0046459; GO:0047371
P76459	ATOA_ECOLI	atoA b2222 JW2216	216	2.8.3.8	GO:0005737; GO:0008775; GO:0046459; GO:0047371
P76469	RHMA_ECOLI	rhmA yfaU b2245 JW2239	267	4.1.2.53	GO:0000287; GO:0005737; GO:0016151; GO:0016832; GO:0034214; GO:0042802; GO:0106099
P76474	ARNF_ECOLI	arnF pmrM yfbJ b2258 JW5373	128		GO:0005886; GO:0009103; GO:0009245; GO:0010041; GO:0022857; GO:0055085; GO:1901264; GO:1901505
P76491	5DNU_ECOLI	yfbR b2291 JW2288	199	3.1.3.89	GO:0000166; GO:0002953; GO:0005737; GO:0006226; GO:0010139; GO:0042802; GO:0050340; GO:0050897
P76503	FADI_ECOLI	fadI yfcY b2342 JW2339	436	2.3.1.16	GO:0003857; GO:0003988; GO:0004300; GO:0005737; GO:0005829; GO:0006635; GO:0033542; GO:0036125
P76535	MURQ_ECOLI	murQ yfeU b2428 JW2421	298	4.2.1.126	GO:0005975; GO:0009254; GO:0016803; GO:0016835; GO:0046348; GO:0097173; GO:0097175; GO:0097367
P76541	EUTL_ECOLI	eutL yffJ b2439 JW2432	219		GO:0005198; GO:0008270; GO:0031471; GO:0042802; GO:0046336
P76558	MAO2_ECOLI	maeB ypfF b2463 JW2447	759	1.1.1.40	GO:0004471; GO:0004473; GO:0005829; GO:0006108; GO:0008948; GO:0016746; GO:0030145; GO:0042802; GO:0043883; GO:0051287
P76562	TMCA_ECOLI	tmcA ypfI b2474 JW2459	671	2.3.1.-; 2.3.1.193	GO:0000049; GO:0002101; GO:0005524; GO:0005737; GO:0016747; GO:0051391; GO:0051392; GO:0106226
P76576	YFGM_ECOLI	yfgM b2513 JW2497	206		GO:0005886; GO:0044877
P76577	PBPC_ECOLI	pbpC yfgN b2519 JW2503	770	2.4.1.129	GO:0004180; GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009252; GO:0016020; GO:0046677; GO:0051781; GO:0071555
P76594	LYSAC_ECOLI	patZ pka yfiQ b2584 JW2568	886	2.3.1.-	GO:0005524; GO:0006979; GO:0009408; GO:0032991; GO:0042802; GO:0046872; GO:0052858; GO:0061733
P76621	GLAH_ECOLI	glaH csiD gab ygaT b2659 JW5427	325	1.14.11.64	GO:0005506; GO:0008198; GO:0019477; GO:0032991; GO:0042802; GO:0050498; GO:0090549; GO:0106343
P76632	CSE2_ECOLI	casB cse2 ygcK b2759 JW2729	160		GO:0003676; GO:0003677; GO:0003723; GO:0032991; GO:0051607; GO:0099048
P76658	HLDE_ECOLI	hldE rfaE waaE yqiF b3052 JW3024	477	2.7.1.167; 2.7.7.70	GO:0005524; GO:0005829; GO:0009244; GO:0016773; GO:0033785; GO:0033786; GO:0042803; GO:0097171
P77044	MHPC_ECOLI	mhpC b0349 JW0340	288	3.7.1.14	GO:0005737; GO:0016787; GO:0018771; GO:0019380; GO:0019439; GO:0019622; GO:0042803; GO:0052823
P77150	PDXY_ECOLI	pdxY ydgS b1636 JW1628	287	2.7.1.35	GO:0000287; GO:0005524; GO:0005829; GO:0008478; GO:0009443; GO:0016310; GO:0042803; GO:0042817; GO:0042819
P77165	PAOA_ECOLI	paoA yagT b0286 JW0280	229	1.2.99.6	GO:0016903; GO:0019439; GO:0042597; GO:0046872; GO:0047770; GO:0051537; GO:0110095; GO:1990204
P77172	PDEF_ECOLI	pdeF yfgF b2503 JW2488	747	3.1.4.52	GO:0000166; GO:0005886; GO:0016020; GO:0042803; GO:0070301; GO:0071111; GO:0071454; GO:1900190
P77173	ZIPA_ECOLI	zipA b2412 JW2404	328		GO:0000917; GO:0005886; GO:0032153; GO:0042803; GO:0043093; GO:0051301; GO:1990586
P77182	MNMC_ECOLI	mnmC yfcK b2324 JW5380	668	1.5.-.-; 2.1.1.61	GO:0002098; GO:0004808; GO:0005737; GO:0016491; GO:0016645; GO:0030488; GO:0071949
P77202	DSBG_ECOLI	dsbG ybdP b0604 JW0597	248		GO:0003756; GO:0030288; GO:0042803; GO:0061077
P77211	CUSC_ECOLI	cusC ibeB ylcB b0572 JW0561	457		GO:0005375; GO:0005507; GO:0006878; GO:0009279; GO:0009636; GO:0010272; GO:0010273; GO:0015288; GO:0015562; GO:0016020; GO:0018345; GO:0019992; GO:0022857; GO:0035434; GO:0042802; GO:0046688; GO:0046930; GO:0055085; GO:0060003; GO:0070207; GO:1902601
P77212	RCLA_ECOLI	rclA ykgC b0304 JW5040	441		GO:0008823; GO:0016651; GO:0016668; GO:0042803; GO:0050660; GO:1901530
P77214	CUSF_ECOLI	cusF cusX ylcC b0573 JW0562	110		GO:0005507; GO:0006878; GO:0009636; GO:0010043; GO:0010272; GO:0010273; GO:0016530; GO:0016531; GO:0030288; GO:0035434; GO:0042597; GO:0046688; GO:0046914; GO:0060003; GO:1902601
P77215	RHMD_ECOLI	rhmD yfaW b2247 JW2241	401	4.2.1.90	GO:0000287; GO:0009063; GO:0016052; GO:0016836; GO:0042802; GO:0050032
P77218	EUTD_ECOLI	eutD eutI ypfA b2458 JW2442	338	2.3.1.8	GO:0005737; GO:0008959; GO:0009408; GO:0042803; GO:0046336
P77239	CUSB_ECOLI	cusB ylcD b0574 JW0563	407		GO:0005375; GO:0005507; GO:0006878; GO:0009636; GO:0010272; GO:0010273; GO:0015679; GO:0016020; GO:0030288; GO:0030313; GO:0035434; GO:0046688; GO:0046914; GO:0060003; GO:1902601
P77243	PRPD_ECOLI	prpD yahT b0334 JW0325	483	4.2.1.3; 4.2.1.79	GO:0003994; GO:0006099; GO:0019679; GO:0047547; GO:0047780; GO:0051537
P77247	HXPB_ECOLI	hxpB yniC b1727 JW1716	222	3.1.3.22; 3.1.3.23; 3.1.3.50; 3.1.3.68	GO:0000287; GO:0003850; GO:0004346; GO:0005829; GO:0005975; GO:0016791; GO:0046872; GO:0050084; GO:0050286; GO:0050308
P77256	AKRMG_ECOLI	ydjG b1771 JW1760	326	1.1.1.-	GO:0005829; GO:0019170
P77258	NEMA_ECOLI	nemA ydhN b1650 JW1642	365	1.3.1.-	GO:0005829; GO:0006805; GO:0008748; GO:0010181; GO:0018937; GO:0034567; GO:0046256; GO:0046857
P77272	PTYBC_ECOLI	murP yfeV b2429 JW2422	474	2.7.1.192	GO:0005886; GO:0008982; GO:0009401; GO:0016020; GO:0016301; GO:0016310; GO:0034219; GO:0090588
P77302	DGCM_ECOLI	dgcM ydaM b1341 JW5206	410	2.7.7.65	GO:0005525; GO:0005886; GO:0042802; GO:0043709; GO:0046872; GO:0052621; GO:1900233; GO:1902201
P77304	DTPA_ECOLI	dtpA tppB ydgR b1634 JW1626	500		GO:0005886; GO:0015031; GO:0015078; GO:0015333; GO:0016020; GO:0035442; GO:0035443; GO:0042937; GO:0071916; GO:1902600
P77324	PAOB_ECOLI	paoB yagS b0285 JW0279	318	1.2.99.6	GO:0016903; GO:0019439; GO:0042597; GO:0046872; GO:0047770; GO:0050660; GO:0051539; GO:0071949; GO:0110095; GO:1990204
P77335	HLYE_ECOLI	hlyE clyA hpr sheA ycgD b1182 JW5181	303		GO:0005576; GO:0016020; GO:0020002; GO:0042597; GO:0042802; GO:0044179; GO:0044532; GO:0090729
P77364	GLXK2_ECOLI	glxK glxB5 ybbZ b0514 JW0502	381	2.7.1.31	GO:0005524; GO:0008887; GO:0009436; GO:0031388; GO:0043798; GO:0046296
P77366	PGMB_ECOLI	ycjU pgmB b1317 JW1310	219	5.4.2.6	GO:0000287; GO:0005737; GO:0005975; GO:0006974; GO:0008801; GO:0009294; GO:0046677
P77395	CNOX_ECOLI	cnoX ybbN b0492 JW5067	284		GO:0005829; GO:0034599; GO:0036506; GO:0042026; GO:0045454; GO:0051082; GO:0061077
P77398	ARNA_ECOLI	arnA pmrI yfbG b2255 JW2249	660	1.1.1.305; 2.1.2.13	GO:0009103; GO:0009245; GO:0032991; GO:0033320; GO:0042802; GO:0046677; GO:0048040; GO:0070403; GO:0099618; GO:0099619; GO:2001315
P77399	FADJ_ECOLI	fadJ yfcX b2341 JW2338	714	1.1.1.35; 4.2.1.17; 5.1.2.3	GO:0003857; GO:0004300; GO:0005737; GO:0006635; GO:0008692; GO:0016509; GO:0036125; GO:0070403
P77425	ALLC_ECOLI	allC glxB7 ylbB b0516 JW0504	411	3.5.3.9	GO:0005737; GO:0006144; GO:0008270; GO:0009442; GO:0030145; GO:0042803; GO:0047652
P77434	ALAC_ECOLI	alaC yfdZ b2379 JW2376	412	2.6.1.2	GO:0004021; GO:0005737; GO:0006523; GO:0008483; GO:0019272; GO:0030170; GO:0030632; GO:0042803
P77444	SUFS_ECOLI	sufS csdB ynhB b1680 JW1670	406	2.8.1.7; 3.13.1.-; 4.4.1.16	GO:0001887; GO:0005737; GO:0006534; GO:0006790; GO:0008826; GO:0009000; GO:0016226; GO:0016787; GO:0030170; GO:0031071; GO:0042803
P77454	GLSA1_ECOLI	glsA1 ybaS b0485 JW0474	310	3.5.1.2	GO:0004359; GO:0006537; GO:0006543; GO:0010447; GO:0032991; GO:0045926
P77455	PAAZ_ECOLI	paaZ maoC ydbN b1387 JW1382	681	1.2.1.91; 3.3.2.12	GO:0004300; GO:0010124; GO:0016620; GO:0016726; GO:0016803; GO:0016823; GO:0042802
P77485	CUSS_ECOLI	cusS ybcZ b0570 JW5082	480	2.7.13.3	GO:0000155; GO:0000160; GO:0004673; GO:0005524; GO:0005886; GO:0007165; GO:0016020; GO:0016310; GO:0046872; GO:0071280; GO:0071292
P77488	DXS_ECOLI	dxs yajP b0420 JW0410	620	2.2.1.7	GO:0000287; GO:0005829; GO:0006744; GO:0008299; GO:0008615; GO:0008661; GO:0009228; GO:0016114; GO:0019288; GO:0030976; GO:0042803; GO:0052865
P77489	PAOC_ECOLI	paoC yagR b0284 JW0278	732	1.2.99.6	GO:0005506; GO:0006974; GO:0016491; GO:0016903; GO:0019439; GO:0030151; GO:0042597; GO:0047770; GO:0110095; GO:1990204
P77499	SUFC_ECOLI	sufC ynhD b1682 JW1672	248		GO:0005524; GO:0005829; GO:0009314; GO:0016226; GO:0016887; GO:1990229
P77510	DPIB_ECOLI	dpiB citA mpdB ybeP b0619 JW0611	552	2.7.13.3	GO:0000155; GO:0004673; GO:0005524; GO:0005829; GO:0005886; GO:0006355; GO:0009927; GO:0030288
P77526	YFCG_ECOLI	yfcG b2302 JW2299	215	1.11.1.-; 1.8.4.-	GO:0004601; GO:0006979; GO:0015036; GO:0042803
P77529	TCYP_ECOLI	tcyP ydjN b1729 JW1718	463		GO:0000099; GO:0000101; GO:0005886; GO:0006791; GO:0015184; GO:0015293; GO:0015811
P77541	PRPB_ECOLI	prpB yahQ b0331 JW0323	296	4.1.3.30	GO:0000287; GO:0019629; GO:0046421
P77544	YFCF_ECOLI	yfcF b2301 JW2298	214	2.5.1.18	GO:0004364; GO:0004601; GO:0006559; GO:0006749; GO:0016034; GO:0042542
P77555	ALLD_ECOLI	allD glxB8 ylbC b0517 JW0505	349	1.1.1.350	GO:0005737; GO:0006144; GO:0009040; GO:0009442
P77567	NHOA_ECOLI	nhoA yddI b1463 JW1458	281	2.3.1.118; 2.3.1.5	GO:0004060; GO:0005737; GO:0042803; GO:0046990
P77581	ASTC_ECOLI	astC argM cstC ydjW b1748 JW1737	406	2.6.1.81	GO:0003992; GO:0006527; GO:0006593; GO:0019544; GO:0019545; GO:0030170; GO:0042450; GO:0042802; GO:0043825
P77589	MHPT_ECOLI	mhpT orfT yaiK b0353 JW5046	403		GO:0005886; GO:0015293
P77625	HXPA_ECOLI	hxpA yfbT b2293 JW5376	216	3.1.3.22; 3.1.3.23; 3.1.3.50	GO:0000287; GO:0005975; GO:0008801; GO:0030145; GO:0043136; GO:0050084; GO:0050286; GO:0050308; GO:0050897
P77649	SELO_ECOLI	selO ydiU b1706 JW1696	478	2.7.7.108	GO:0000287; GO:0005524; GO:0018117; GO:0070733
P77667	SUFA_ECOLI	sufA ydiC b1684 JW1674	122		GO:0005737; GO:0005829; GO:0006979; GO:0016226; GO:0042803; GO:0046872; GO:0051537; GO:0097428; GO:1990230
P77671	ALLB_ECOLI	allB glxB3 ybbX b0512 JW0500	453	3.5.2.5	GO:0004038; GO:0005737; GO:0006145; GO:0008270; GO:0009442; GO:0050897
P77674	ABDH_ECOLI	patD prr ydcW b1444 JW1439	474	1.2.1.-; 1.2.1.19	GO:0004029; GO:0005829; GO:0009447; GO:0019145; GO:0019477; GO:0032991; GO:0033737; GO:0042802; GO:0051287; GO:0051289
P77690	ARNB_ECOLI	arnB pmrH yfbE b2253 JW5372	385	2.6.1.87	GO:0000271; GO:0005737; GO:0008483; GO:0009103; GO:0009245; GO:0030170; GO:0046677; GO:0099620
P77712	FADM_ECOLI	fadM tesC ybaW b0443 JW0433	132	3.1.2.-	GO:0006635; GO:0016290; GO:0047617; GO:0102991
P77718	THII_ECOLI	thiI yajK b0423 JW0413	482	2.8.1.4	GO:0000049; GO:0002937; GO:0004810; GO:0005524; GO:0005829; GO:0009228; GO:0009229; GO:0009589; GO:0016783; GO:0019448; GO:0052837; GO:0097163; GO:0140741; GO:1990221; GO:1990228
P77748	D2HDH_ECOLI	ydiJ b1687 JW1677	1018	1.1.99.39	GO:0004458; GO:0008720; GO:0046872; GO:0050660; GO:0051539; GO:0071949; GO:1903457
P77754	SPY_ECOLI	spy b1743 JW1732	161		GO:0014070; GO:0030288; GO:0042803; GO:0044183; GO:0051082; GO:0061077
P77766	RNM_ECOLI	rnm trpH yciV b1266 JW1258	293	3.1.13.-; 3.1.3.97	GO:0000166; GO:0000470; GO:0000481; GO:0004534; GO:0008252; GO:0030145; GO:0030490; GO:0035312; GO:0097657
P77774	BAMB_ECOLI	bamB yfgL b2512 JW2496	392		GO:0009279; GO:0016020; GO:0042802; GO:0043165; GO:0051205; GO:1990063
P77781	MENI_ECOLI	menI ydiI b1686 JW1676	136	3.1.2.28	GO:0005829; GO:0009234; GO:0016289; GO:0016787; GO:0061522
P77788	NUDG_ECOLI	nudG ynjG b1759 JW1748	135	3.6.1.65	GO:0006281; GO:0008413; GO:0016787; GO:0035539; GO:0044715; GO:0044716; GO:0047840
P77791	MAA_ECOLI	maa ylaD b0459 JW0448	183	2.3.1.79	GO:0005829; GO:0008374; GO:0008925; GO:0032991; GO:0042802
P77806	YBDL_ECOLI	ybdL b0600 JW0593	386	2.6.1.88	GO:0005737; GO:0009058; GO:0010326; GO:0016212; GO:0030170; GO:0042803
P78055	FSAA_ECOLI	fsaA fsa mipB ybiZ b0825 JW5109	220	4.1.2.-	GO:0005737; GO:0006000; GO:0042182; GO:0042802; GO:0097023
P78061	PUUA_ECOLI	puuA ycjK b1297 JW5201	472	6.3.1.11	GO:0004356; GO:0005524; GO:0006542; GO:0006598; GO:0009447; GO:0034024
P80645	SSUD_ECOLI	ssuD ycbN b0935 JW0918	381	1.14.14.5	GO:0008726; GO:0009408; GO:0010438; GO:0042802; GO:0046306; GO:0051289; GO:1990201
P80668	FEAB_ECOLI	feaB maoB padA ydbG b1385 JW1380	499	1.2.1.39	GO:0006559; GO:0008957; GO:0009435; GO:0016491; GO:0019607; GO:0032991; GO:0046196; GO:0047106
Q06065	ATOC_ECOLI	atoC az b2220 JW2214	461		GO:0000160; GO:0003700; GO:0005524; GO:0005737; GO:0016887; GO:0043565; GO:0045893
Q06067	ATOS_ECOLI	atoS b2219 JW2213	608	2.7.13.3	GO:0000155; GO:0005524; GO:0005886; GO:0006355; GO:0007165; GO:0042803; GO:1904583
Q46806	PHYDA_ECOLI	hyuA ygeZ b2873 JW2841	461	3.5.2.-	GO:0005829; GO:0006208; GO:0016812; GO:0042802; GO:0046872
Q46810	MOCA_ECOLI	mocA ygfJ b2877 JW2845	192	2.7.7.76	GO:0000166; GO:0000287; GO:0006777; GO:0061602; GO:1902760
Q46821	UACT_ECOLI	uacT ygfU b2888 JW5470	482		GO:0005886; GO:0015143; GO:0015293; GO:0015747; GO:0042906; GO:0042907; GO:1902600
Q46822	IDI_ECOLI	idi ygfV b2889 JW2857	182	5.3.3.2	GO:0000287; GO:0004452; GO:0005737; GO:0006974; GO:0008270; GO:0008299; GO:0050992
Q46839	GLCA_ECOLI	glcA yghK b2975 JW2942	560		GO:0005886; GO:0015129; GO:0015295
Q46845	YGHU_ECOLI	yghU b2989 JW5492	288	1.11.1.-; 1.8.4.-	GO:0004601; GO:0015036; GO:0042803
Q46856	YQHD_ECOLI	yqhD b3011 JW2978	387	1.1.1.2	GO:0000302; GO:0005829; GO:0008106; GO:0008270; GO:0018455; GO:0042802; GO:1990002; GO:1990362
Q46857	DKGA_ECOLI	dkgA yqhE b3012 JW5499	275	1.1.1.274	GO:0004032; GO:0005829; GO:0008106; GO:0016616; GO:0019853; GO:0050580; GO:0051596
Q46864	MQSA_ECOLI	mqsA ygiT b3021 JW2989	131		GO:0006355; GO:0042803; GO:0043565; GO:0044010; GO:0046872; GO:0110001
